,nickname,text,score,like,dislike,time,watch_movie
0,다람다람(kky0****),"원작을 뛰어넘는 작품은 없다지만 굳이 끼워넣은 인위적인 설정과 무미건조한 주인공의 표정, 고증없이 나열된 영화 속 동양의 세계에 실망스러웠습니다.  심지어 영화를 관통하는 큰 가치가 악역 보리 칸에게도 존재해 이 사...",6,765,193,2020-09-17 20:14:00,관람객
1,Ataraxia(jisa****),킬링타임용 영상미는 좋으나 스토리등 유치하고 별로 원작보다노잼임,4,551,81,2020-09-18 01:33:00,관람객
2,Vinn(kyoo****),일단... 디지스타일의 애니메이션은 노래와 시대적 센스를 반영해서 재구성한 작품으로 호불호가 갈림에도 역시 디즈니!! 답다라는 평을 주는데... 이건.. 그냥 진지한 중국 무협영화를 영어로 보는 느낌? 스토리야 디즈...,1,434,38,2020-09-19 02:31:00,관람객
3,ghks****,이걸 한번 볼바엔 반도를 10번 보겠습니다,1,450,57,2020-09-17 12:43:00,0
4,calm****,별 로 재 미 없 습 니 다 ; ; ;,6,393,62,2020-09-18 14:54:00,관람객
5,하이그라운드(josh****),"유역비가 홍콩 진압하는 경창들 응원하는 포스트햇던데 그 사람이 나오는영화 보는놈들은 중국지지하냐? 그리고, 디즈니는 스타워즈에 되도않는 PC를 쳐넣드만 중국에 휘말려서 뭔 홍콩, 대만 무시하는 배우를 넣지 않나, 인...",1,361,40,2020-09-17 12:48:00,0
6,조가현(cind****),10점 뭐냐? 댓글 알바임? 디즈니한테 실망함. (출연진은 제대로 뽑자.),1,321,30,2020-09-17 12:21:00,0
7,alle****,스포일러가 포함된 감상평입니다. 감상평 보기,3,323,34,2020-09-18 17:29:00,관람객
8,Hhyelim(manj****),기대는 안했지만 더 기대이하였어요 7세이상 관람으로 해도 될 것같아요,2,289,28,2020-09-19 17:37:00,관람객
9,선정(unde****),음..디즈니..정말 실망입니다.,1,249,18,2020-09-17 14:31:00,0
10,구예은(sjo5****),스포일러가 포함된 감상평입니다. 감상평 보기,2,219,34,2020-09-19 00:51:00,관람객
11,토이스토리(gpff****),디즈니..넘 실망....어떻게 그럴수있니,1,190,21,2020-09-17 13:15:00,0
12,반찬우(banc****),영화에 짜장이 묻으면 이 꼴 나는구나 ㅋ,1,175,20,2020-09-17 10:09:00,0
13,현욱(unti****),내 어린시절 뮬란을 이렇게 망치지마,1,161,7,2020-09-17 14:31:00,0
14,포지트론(inhy****),중국이 싫다고 1점 주지는 맙시다. 저는 이 영화가 싫어서 1점 줍니다.,1,162,8,2020-09-17 12:24:00,0
15,JJ TRADING(jjtd****),기대도 안했는데 기대이하였음 디즈니에 개실망,2,174,30,2020-09-19 23:48:00,관람객
16,ys(cysp****),돈으로 헐리우드를 샀지만 관객마음은 못사지,1,154,11,2020-09-17 12:30:00,0
17,므두셀라(hone****),개봉하기전에 이미 봤다...ㅋㅋㅋㅋ견자단하고 이연걸 아깝다... 여기 왜 출연했어..,2,141,16,2020-09-17 11:27:00,0
