,nickname,text,score,like,dislike,time,watch_movie
0,이상현(lshk****),제 정신 아닌 년/놈들이 만든 영화를 예술로 만들어 주는 세상이 역겹다.,1,2254,720,2017-03-23 01:01:00,0
1,7112****,누군가에게는 상처일수도 있는 일들이.. 공공연하게 떠벌려지고.. 영화까지...본인들끼리의 사랑이라면 사랑일수있지만 다른사람에게 상처는 최대한 덜줍시다..,1,1689,469,2017-03-23 01:33:00,0
2,qkrs****,너무별로에요 드러워요,1,1492,454,2017-03-23 04:11:00,0
3,카이(tlsc****),역겨워서 못 볼거같아~,1,1276,423,2017-03-23 02:04:00,0
4,누군가(jhh1****),지나친 사랑의 자유는 예술이 아니다,1,1216,374,2017-03-23 04:48:00,0
5,vmfm****,자기들에대한 쉴드가 지나침,3,906,208,2017-03-23 22:41:00,관람객
6,베짱베짱(hpla****),불륜도 예술이 될 수 있어서 좋겠다,2,974,294,2017-03-23 00:31:00,0
7,킬디에이전트(rjk0****),이거 영화보는사람도 있네 7위나 하다니,1,854,255,2017-03-23 00:38:00,0
8,지구형행성(yuha****),뻔하디뻔한 불륜이야기...불륜하는사람 마음은 특별할거없 이 늘 똑같다..그러니 제발 조용히 사랑하길....,2,812,218,2017-03-23 08:06:00,0
9,장윤영(wkdd****),늙은 할아범이랑 삼십대에 멀대같은 여자가 사랑타령하는 영화를 보면 내 시간이 너무도 아까울거 같은데 ㅋㅋㅋㅋ 할아범은 자기자식을 위해서라도 정신차리고 늙은여우는 정신차리고 해외로 귀화하길 물론 노망난 할아범도 같이 ...,1,840,264,2017-03-23 00:28:00,0
10,haha(rain****),홍상수는 자기 가족보기를 아주 머같이 보는듯..가족들은 지금 가슴에 칼꽂아두고 사는기분일텐데...미안해서라도 조용히 지낼것이지..보란듯이 공식석상나와서 약올리고..이런영화까지내고..진짜잔인...그래서 이영화가 청불인...,1,599,103,2017-03-23 08:00:00,0
11,amad****,아무리 꾸며도 불륜은 불륜. 아직 우리 사회가 이 정도 분별력은 있다고 믿는다.,1,560,117,2017-03-23 10:01:00,0
12,sang****,평론가들 평점이 더역겹다ㅋㅋㅋ유식한척 꼴갑들떨고있네ㅋㅋㅋㅋ,1,496,98,2017-03-23 16:32:00,0
13,hsam****,별로다... 대사 완전 오글 거리고 보는 내내 너무 불편했음,2,446,110,2017-03-25 13:01:00,관람객
14,토토로(chun****),관객수로 평가받기를~,1,460,140,2017-03-23 01:22:00,0
15,ALL마이트(okok****),멀쩡하던 집안이 한순간 풍비박산이 나버렸다 너희 둘은 일망타진 되였으면 한다,1,424,110,2017-03-23 07:03:00,0
