형태소,품사,분류,카운트
!,Punctuation,1,84
!,Punctuation,2,14
!,Punctuation,3,1
!,Punctuation,4,1
!,Punctuation,5,4
!,Punctuation,6,6
!,Punctuation,8,31
!,Punctuation,9,26
!,Punctuation,10,63
!!,Punctuation,1,28
!!,Punctuation,2,5
!!,Punctuation,4,3
!!,Punctuation,6,4
!!,Punctuation,7,1
!!,Punctuation,8,7
!!,Punctuation,9,4
!!,Punctuation,10,25
!!!,Punctuation,1,15
!!!,Punctuation,2,3
!!!,Punctuation,8,1
!!!,Punctuation,9,1
!!!,Punctuation,10,7
!!!!,Punctuation,1,9
!!!!,Punctuation,2,2
!!!!,Punctuation,6,1
!!!!,Punctuation,10,3
!!!!$$$#$#%#@#,Punctuation,1,1
!!!!.,Punctuation,10,1
!!!!^^,Punctuation,10,1
!!!!~~~~,Punctuation,1,1
!!!(,Punctuation,10,1
!!!??????,Punctuation,10,1
!!;;;,Punctuation,2,1
!..,Punctuation,1,1
!...,Punctuation,1,1
!?,Punctuation,1,1
!??,Punctuation,1,1
!^^,Punctuation,10,1
!~~~~,Punctuation,6,1
"""",Punctuation,1,18
"""",Punctuation,2,2
"""",Punctuation,3,1
"""",Punctuation,6,1
"""",Punctuation,8,3
"""",Punctuation,9,2
"""!!",Punctuation,3,1
#,Punctuation,1,6
#BOYCOTTMULAN,Hashtag,1,1
#BoycottMulan,Hashtag,1,1
#FREE,Hashtag,1,1
#boycott,Hashtag,1,1
#boycottmulan,Hashtag,1,3
#뮬란out,Hashtag,1,1
#뮬란보이콧폭력을,Hashtag,1,1
#반뮬란,Hashtag,1,1
#보이콧뮬란,Hashtag,1,3
$2억,Number,1,1
&,Punctuation,1,1
&...,Punctuation,3,1
',Punctuation,1,17
',Punctuation,2,10
',Punctuation,3,5
',Punctuation,4,1
',Punctuation,5,2
',Punctuation,6,2
',Punctuation,7,1
',Punctuation,8,2
''',Punctuation,1,1
"',",Punctuation,2,1
'...,Punctuation,7,1
'^',Punctuation,9,1
(,Punctuation,1,21
(,Punctuation,2,5
(,Punctuation,3,1
(,Punctuation,4,4
(,Punctuation,5,2
(,Punctuation,6,2
(,Punctuation,8,3
(,Punctuation,9,2
(,Punctuation,10,6
(?),Punctuation,1,1
(?),Punctuation,2,1
(?),Punctuation,8,1
),Punctuation,1,14
),Punctuation,2,4
),Punctuation,3,1
),Punctuation,4,2
),Punctuation,6,2
),Punctuation,8,1
),Punctuation,9,3
),Punctuation,10,3
"),",Punctuation,1,3
"),",Punctuation,5,1
"),",Punctuation,10,2
)..,Punctuation,2,1
)...,Punctuation,10,1
)~,Punctuation,10,1
*)*(^^^$^*&*,Punctuation,10,1
*^^*,Punctuation,10,1
+,Punctuation,1,14
+,Punctuation,2,3
+,Punctuation,3,1
+,Punctuation,5,1
+,Punctuation,7,1
+_+,Punctuation,7,1
+_+!!,Punctuation,8,1
",",Punctuation,1,261
",",Punctuation,2,65
",",Punctuation,3,12
",",Punctuation,4,43
",",Punctuation,5,18
",",Punctuation,6,15
",",Punctuation,7,10
",",Punctuation,8,52
",",Punctuation,9,30
",",Punctuation,10,46
",,",Punctuation,1,2
",,",Punctuation,2,5
",,",Punctuation,4,1
",,",Punctuation,6,2
",,",Punctuation,8,2
",,",Punctuation,9,1
",,",Punctuation,10,3
",,,",Punctuation,1,7
",,,",Punctuation,2,5
",,,,",Punctuation,2,2
",,,,",Punctuation,10,1
",,,....",Punctuation,1,1
",,??",Punctuation,2,1
",.",Punctuation,1,2
",...",Punctuation,1,1
",...",Punctuation,2,1
",...",Punctuation,4,1
",...",Punctuation,8,1
",...",Punctuation,10,1
",?",Punctuation,1,1
-,Punctuation,1,11
-,Punctuation,2,1
-,Punctuation,7,2
"-""",Punctuation,2,2
-(,Punctuation,9,1
----,Punctuation,1,1
-_-..,Punctuation,9,1
.,Foreign,1,1
.,Punctuation,1,863
.,Punctuation,2,303
.,Punctuation,3,44
.,Punctuation,4,126
.,Punctuation,5,73
.,Punctuation,6,120
.,Punctuation,7,48
.,Punctuation,8,134
.,Punctuation,9,65
.,Punctuation,10,287
.!,Punctuation,10,1
".""",Punctuation,1,1
.#banmulan,Hashtag,1,1
".'"",:-!~()",Punctuation,1,1
.),Punctuation,1,2
".,",Punctuation,1,1
".,.",Punctuation,1,1
".,.,.,.,.,.,",Punctuation,2,1
".,..",Punctuation,2,1
..,Punctuation,1,284
..,Punctuation,2,124
..,Punctuation,3,15
..,Punctuation,4,62
..,Punctuation,5,20
..,Punctuation,6,59
..,Punctuation,7,13
..,Punctuation,8,49
..,Punctuation,9,33
..,Punctuation,10,62
..!,Punctuation,9,1
..!!,Punctuation,1,1
..)..,Punctuation,4,1
...,Punctuation,1,434
...,Punctuation,2,195
...,Punctuation,3,34
...,Punctuation,4,72
...,Punctuation,5,31
...,Punctuation,6,55
...,Punctuation,7,21
...,Punctuation,8,53
...,Punctuation,9,23
...,Punctuation,10,65
...!,Punctuation,10,1
...!!,Punctuation,2,1
...!!,Punctuation,8,1
...!!!,Punctuation,9,1
...',Punctuation,4,1
...(,Punctuation,7,1
...),Punctuation,8,1
"...,,,",Punctuation,9,1
....,Punctuation,1,85
....,Punctuation,2,30
....,Punctuation,3,4
....,Punctuation,4,15
....,Punctuation,5,2
....,Punctuation,6,10
....,Punctuation,7,4
....,Punctuation,8,4
....,Punctuation,9,1
....,Punctuation,10,9
.....,Punctuation,1,1
.....,Punctuation,10,1
....;;,Punctuation,2,1
....;;;,Punctuation,1,1
....?,Punctuation,4,1
....?,Punctuation,10,1
....~~~,Punctuation,1,1
...;,Punctuation,1,2
...;;,Punctuation,1,2
...;;,Punctuation,6,1
...;;(,Punctuation,7,1
...?,Punctuation,1,3
...?,Punctuation,2,1
...?,Punctuation,7,1
...?,Punctuation,10,1
...??,Punctuation,1,1
...??,Punctuation,2,1
...???,Punctuation,1,1
..;;;,Punctuation,10,1
..><,Punctuation,9,1
..?,Punctuation,1,4
..?,Punctuation,2,4
..?,Punctuation,6,1
..?,Punctuation,7,1
..?,Punctuation,8,2
..?,Punctuation,9,1
..?,Punctuation,10,1
..?.,Punctuation,10,1
..??,Punctuation,1,1
..^^,Punctuation,4,1
.:,Punctuation,10,1
.;,Punctuation,1,1
.;;;;,Punctuation,1,1
.??,Punctuation,1,1
.[...,Punctuation,1,1
.^^,Punctuation,6,1
.^^,Punctuation,8,1
/,Punctuation,1,9
/,Punctuation,2,2
/....,Punctuation,2,1
//,Punctuation,2,4
//,Punctuation,10,1
///,Punctuation,1,2
/_,Punctuation,1,1
0,Number,1,23
0,Number,2,3
0,Number,7,1
0,Number,8,1
0,Number,10,1
0%,Number,2,1
0.0001%,Number,1,1
0.1,Number,1,3
0.2,Number,1,1
0.25,Number,1,1
1,Number,1,108
1,Number,2,17
1,Number,3,1
1,Number,4,2
1,Number,6,4
1,Number,7,1
1,Number,8,6
1,Number,10,6
1-2,Number,10,1
10,Number,1,22
10,Number,2,3
10,Number,3,1
10,Number,4,1
10,Number,8,3
10,Number,10,7
100,Number,1,6
100,Number,10,2
100%,Number,1,2
100%,Number,2,2
100%,Number,10,1
1000,Number,10,1
1000%,Number,1,1
100만,Number,1,1
10년,Number,1,1
10년,Number,2,1
10년,Number,3,1
10년,Number,4,1
10만,Number,1,1
111,Number,1,1
12,Number,1,3
12,Number,2,1
12,Number,5,2
12,Number,8,4
12000원,Number,2,1
123,Number,1,1
1234567899,Number,1,1
12346,Number,2,1
1400만,Number,10,1
14년,Number,1,1
14억,Number,1,1
15,Number,1,2
1500원,Number,1,1
15년,Number,2,1
15만,Number,1,1
15억,Number,1,1
16,Number,1,1
17만,Number,2,1
180,Number,1,1
19,Number,2,1
1950년,Number,1,1
1980년,Number,1,1
1998년,Number,1,2
1998년,Number,4,1
1:1,Number,4,1
1~2,Number,1,3
1만,Number,2,1
1억달러,Number,2,1
1회,Number,6,1
2,Number,1,21
2,Number,2,12
2,Number,4,2
2,Number,6,1
2,Number,8,4
2,Number,10,2
2.1,Number,1,1
20,Number,1,2
20,Number,8,1
20,Number,10,1
20-30,Number,1,1
2000억,Number,1,1
2009년,Number,6,1
200만,Number,2,1
2010년,Number,1,2
2010년,Number,2,2
2010년,Number,3,1
2019,Number,2,1
2020,Number,1,1
2020,Number,10,2
2020년,Number,1,2
2020년,Number,2,2
2020년,Number,4,1
2020년,Number,5,1
2020년,Number,10,1
20년,Number,1,1
20년,Number,3,1
20년,Number,4,1
20년,Number,7,1
20만,Number,1,3
20분,Number,1,1
21,Number,1,2
22년,Number,1,1
22년,Number,7,1
22년,Number,9,4
22년,Number,10,2
22만,Number,1,1
2300억,Number,1,1
2300억원,Number,1,1
23만,Number,1,1
24,Number,1,1
2400억,Number,2,1
2시,Number,9,1
2시간,Number,1,2
2시간,Number,2,1
2시간,Number,10,2
2억,Number,1,2
2억,Number,2,1
2억달러,Number,1,1
2천만달러,Number,1,1
3,Number,1,22
3,Number,2,4
3,Number,3,1
3,Number,4,3
3,Number,6,2
3,Number,8,1
3,Number,9,1
3.6,Number,10,1
30,Number,1,1
30,Number,5,1
30년,Number,1,1
30분,Number,6,1
30초,Number,4,1
3분,Number,1,1
3분,Number,2,1
3억,Number,5,1
3일,Number,2,1
3천억,Number,6,1
4,Number,1,3
4,Number,4,2
4,Number,7,1
4,Number,8,1
4,Number,10,2
4-6,Number,1,1
4.0,Number,2,1
4.44,Number,10,1
40,Number,1,2
450억,Number,1,1
5,Number,1,10
5,Number,2,2
5,Number,5,2
5,Number,6,1
5.9,Number,2,1
50,Number,1,3
50,Number,10,1
50%,Number,6,1
6,Number,1,2
6,Number,2,1
6,Number,6,2
6-7,Number,2,1
60,Number,2,1
7,Number,1,4
7,Number,2,3
7,Number,3,2
7,Number,4,1
7,Number,7,2
7080,Number,5,1
77,Number,1,1
777,Number,1,1
7~8,Number,10,1
8,Number,1,38
8,Number,2,13
8,Number,4,3
8,Number,8,2
8,Number,10,2
8.0,Number,1,1
8.1,Number,1,2
8.11,Number,1,2
8.15,Number,1,1
8.23,Number,1,1
8.24,Number,1,1
8.24,Number,2,1
8.27,Number,1,1
8.29,Number,1,1
8.3,Number,2,1
8.3,Number,3,1
8.32,Number,1,1
8.5,Number,1,1
8.56,Number,1,1
8.65,Number,2,1
8.9,Number,1,1
80,Number,7,1
80-90년,Number,1,1
8090년,Number,1,1
80년,Number,1,4
81%,Number,10,1
86,Number,1,3
8월,Number,1,1
9,Number,1,1
9,Number,2,1
9,Number,4,1
9,Number,5,1
9,Number,8,1
9,Number,9,2
9,Number,10,1
9000원,Number,1,1
90년,Number,1,1
90년,Number,8,1
98년,Number,1,1
98년,Number,2,1
98년,Number,6,1
98년,Number,8,1
9천만달러,Number,1,1
9천만달러,Number,2,1
:,Punctuation,1,13
:,Punctuation,2,2
:,Punctuation,4,1
:,Punctuation,7,1
:,Punctuation,8,1
:,Punctuation,10,6
:),Punctuation,9,1
:),Punctuation,10,1
:)),Punctuation,10,1
:-),Punctuation,10,1
:..,Punctuation,8,1
;,Punctuation,1,14
;,Punctuation,2,3
;,Punctuation,4,1
;,Punctuation,6,3
;,Punctuation,10,2
;.,Punctuation,10,1
;;,Punctuation,1,17
;;,Punctuation,2,3
;;,Punctuation,4,2
;;,Punctuation,5,1
;;,Punctuation,7,3
;;,Punctuation,8,5
;;,Punctuation,9,2
;;,Punctuation,10,4
;;),Punctuation,1,1
;;;,Punctuation,1,6
;;;,Punctuation,2,1
;;;,Punctuation,6,1
;;;;,Punctuation,1,2
;;;;,Punctuation,2,4
<,Punctuation,1,2
=,Punctuation,1,6
=,Punctuation,8,1
=),Punctuation,10,1
>,Punctuation,1,5
>>>>,Punctuation,10,1
?,Punctuation,1,244
?,Punctuation,2,69
?,Punctuation,3,2
?,Punctuation,4,16
?,Punctuation,5,8
?,Punctuation,6,11
?,Punctuation,7,7
?,Punctuation,8,24
?,Punctuation,9,10
?,Punctuation,10,28
?!,Punctuation,1,2
"?""",Punctuation,6,1
?),Punctuation,8,1
"?,""",Punctuation,2,1
?.,Punctuation,10,1
?..,Punctuation,1,1
?..,Punctuation,2,2
"?..""+",Punctuation,2,1
?...,Punctuation,1,1
?...,Punctuation,2,1
?...,Punctuation,5,1
?...?...?,Punctuation,6,1
?;;;,Punctuation,1,1
??,Punctuation,1,53
??,Punctuation,2,12
??,Punctuation,3,1
??,Punctuation,4,3
??,Punctuation,5,1
??,Punctuation,6,3
??,Punctuation,8,5
??,Punctuation,9,1
??,Punctuation,10,2
??).,Punctuation,1,1
???,Punctuation,1,18
???,Punctuation,2,6
???,Punctuation,8,1
???,Punctuation,10,2
????,Punctuation,1,8
????,Punctuation,2,3
????,Punctuation,3,1
????,Punctuation,4,1
????,Punctuation,10,1
????;;;,Punctuation,1,1
??^^,Punctuation,2,1
A,Alpha,6,1
AI,Alpha,3,1
Actually,Alpha,1,1
B,Alpha,1,5
B,Alpha,2,4
B,Alpha,4,1
BGM,Alpha,2,1
BOYCOTT,Alpha,1,1
Boycott,Alpha,1,2
BoycottMulan,Alpha,1,1
Brave,Alpha,10,2
C,Alpha,1,1
C,Alpha,2,1
C,Alpha,6,1
CCP,Alpha,1,1
CG,Alpha,1,5
CG,Alpha,2,2
CG,Alpha,4,2
CG,Alpha,7,1
CG,Alpha,8,1
CG,Alpha,10,2
CGV,Alpha,8,1
CGV,Alpha,9,1
CHINA,Alpha,1,2
Cg,Alpha,1,2
China,Alpha,1,1
Chinese,Alpha,1,2
D,Alpha,1,4
D,Alpha,8,1
D,Alpha,10,2
DX,Alpha,7,1
DX,Alpha,10,1
Devotion,Alpha,1,1
Disney,Alpha,1,1
Disney,Alpha,5,1
Do,Alpha,1,1
Enjoyable,Alpha,8,1
FOR,Alpha,1,1
FREE,Alpha,1,13
FREEDOM,Alpha,1,1
Free,Alpha,1,33
Free,Alpha,2,8
GI,Alpha,1,1
H,Alpha,1,1
HK,Alpha,1,1
HK,Alpha,2,1
HOKONG,Alpha,1,1
HONG,Alpha,1,3
HONGKONG,Alpha,1,11
Hong,Alpha,1,8
Hong,Alpha,2,1
HongKong,Alpha,1,2
HongKongFree,Alpha,1,1
Hongkong,Alpha,1,7
Hongkong,Alpha,2,4
HongkongFree,Alpha,1,1
It,Alpha,10,1
JET,Alpha,7,1
Jinping,Alpha,1,1
K,Alpha,1,1
KONG,Alpha,1,3
KT,Alpha,2,1
Kong,Alpha,1,7
Kong,Alpha,2,1
LI,Alpha,7,1
Let,Alpha,1,1
Liu,Alpha,1,2
Live,Alpha,10,1
Loyal,Alpha,10,2
MR,Alpha,10,1
MULAN,Alpha,1,3
MX,Alpha,8,1
MY,Alpha,1,1
Mao,Alpha,1,1
Massacre,Alpha,1,1
Mulan,Alpha,1,1
Mulan,Alpha,2,1
NL,Alpha,1,1
NO,Alpha,1,3
NOT,Alpha,1,1
No,Alpha,1,4
No,Alpha,2,1
No,Alpha,8,1
Number,Alpha,1,1
OCN,Alpha,2,1
ON,Alpha,1,1
OO,Alpha,1,14
OO,Alpha,2,5
OO,Alpha,3,1
OO,Alpha,8,1
OOO,Alpha,1,9
OOO,Alpha,2,3
OOOO,Alpha,1,1
OS,Alpha,9,1
OST,Alpha,1,14
OST,Alpha,2,3
OST,Alpha,4,1
