형태소,품사,분류,카운트
!,Punctuation,1,43
!,Punctuation,2,1
!,Punctuation,3,3
!,Punctuation,4,2
!,Punctuation,6,5
!,Punctuation,7,13
!,Punctuation,8,38
!,Punctuation,9,34
!,Punctuation,10,71
!!,Punctuation,1,15
!!,Punctuation,2,1
!!,Punctuation,3,1
!!,Punctuation,6,2
!!,Punctuation,7,2
!!,Punctuation,8,7
!!,Punctuation,9,14
!!,Punctuation,10,19
!!!,Punctuation,1,6
!!!,Punctuation,3,1
!!!,Punctuation,7,1
!!!,Punctuation,8,1
!!!,Punctuation,9,10
!!!,Punctuation,10,7
!!!!,Punctuation,1,2
!!!!,Punctuation,7,1
!!!!,Punctuation,8,1
!!!!,Punctuation,9,1
!!!!,Punctuation,10,2
!!!(,Punctuation,1,1
!!^^,Punctuation,10,1
"!""",Punctuation,9,1
!',Punctuation,8,1
"!'?!,?!?,.",Punctuation,1,1
!...,Punctuation,9,1
"!:==#&=&~.~&#&=%/""",Punctuation,10,1
!?,Punctuation,8,1
!^^,Punctuation,9,1
!^_^,Punctuation,10,1
!|~,Punctuation,10,1
"""",Punctuation,1,14
"""",Punctuation,2,2
"""",Punctuation,3,4
"""",Punctuation,4,2
"""",Punctuation,6,2
"""",Punctuation,7,5
"""",Punctuation,8,15
"""",Punctuation,9,9
"""",Punctuation,10,12
"""..",Punctuation,10,1
#,Punctuation,1,7
#NAME,Hashtag,1,1
#감독이,Hashtag,1,1
&,Punctuation,1,2
&,Punctuation,6,1
&,Punctuation,8,1
',Punctuation,1,14
',Punctuation,3,1
',Punctuation,5,4
',Punctuation,6,9
',Punctuation,7,11
',Punctuation,8,26
',Punctuation,9,18
',Punctuation,10,19
'''',Punctuation,10,1
(,Punctuation,1,28
(,Punctuation,6,2
(,Punctuation,7,3
(,Punctuation,8,1
(,Punctuation,9,8
(,Punctuation,10,7
(+,Punctuation,10,1
(?),Punctuation,1,1
(?),Punctuation,5,1
(?),Punctuation,7,2
(?),Punctuation,8,1
(?),Punctuation,9,1
(?),Punctuation,10,1
),Punctuation,1,28
),Punctuation,6,2
),Punctuation,7,2
),Punctuation,9,8
),Punctuation,10,7
).,Punctuation,10,1
):,Punctuation,8,1
**,Punctuation,1,1
****),Punctuation,10,1
+,Punctuation,1,3
+,Punctuation,7,1
+,Punctuation,9,3
+,Punctuation,10,1
",",Punctuation,1,114
",",Punctuation,2,10
",",Punctuation,3,8
",",Punctuation,4,13
",",Punctuation,5,21
",",Punctuation,6,30
",",Punctuation,7,62
",",Punctuation,8,119
",",Punctuation,9,106
",",Punctuation,10,192
",,",Punctuation,1,6
",,",Punctuation,8,3
",,",Punctuation,9,3
",,",Punctuation,10,9
",,,",Punctuation,1,6
",,,",Punctuation,4,2
",,,",Punctuation,6,1
",,,",Punctuation,9,2
",,,",Punctuation,10,1
",,,!!",Punctuation,1,1
",,,,",Punctuation,1,1
",,,,",Punctuation,6,1
",,,,",Punctuation,10,1
",,,,""",Punctuation,10,1
",,.?",Punctuation,1,1
",.",Punctuation,6,1
",.",Punctuation,8,1
",...",Punctuation,2,1
",...",Punctuation,6,1
-,Punctuation,1,4
-,Punctuation,2,1
-,Punctuation,6,1
-,Punctuation,7,2
-,Punctuation,8,3
-,Punctuation,9,2
-,Punctuation,10,1
->,Punctuation,1,3
.,Punctuation,1,586
.,Punctuation,2,42
.,Punctuation,3,53
.,Punctuation,4,43
.,Punctuation,5,59
.,Punctuation,6,123
.,Punctuation,7,241
.,Punctuation,8,494
.,Punctuation,9,471
.,Punctuation,10,789
.!!,Punctuation,9,1
".""",Punctuation,1,1
".""",Punctuation,8,2
.',Punctuation,8,2
.(,Punctuation,10,1
.),Punctuation,1,1
".,...",Punctuation,8,1
..,Punctuation,1,207
..,Punctuation,2,10
..,Punctuation,3,10
..,Punctuation,4,11
..,Punctuation,5,31
..,Punctuation,6,29
..,Punctuation,7,42
..,Punctuation,8,81
..,Punctuation,9,78
..,Punctuation,10,102
..!,Punctuation,1,1
..!,Punctuation,10,1
..',Punctuation,3,1
...,Punctuation,1,279
...,Punctuation,2,23
...,Punctuation,3,18
...,Punctuation,4,11
...,Punctuation,5,27
...,Punctuation,6,39
...,Punctuation,7,45
...,Punctuation,8,80
...,Punctuation,9,82
...,Punctuation,10,162
...!!!,Punctuation,10,1
"...""",Punctuation,8,1
...(,Punctuation,5,1
...),Punctuation,7,1
"...,,,,---",Punctuation,1,1
....,Punctuation,1,63
....,Punctuation,2,4
....,Punctuation,3,2
....,Punctuation,4,4
....,Punctuation,5,4
....,Punctuation,6,7
....,Punctuation,7,7
....,Punctuation,8,22
....,Punctuation,9,15
....,Punctuation,10,38
"....,",Punctuation,1,1
"....,,,,????",Punctuation,1,1
"....,.",Punctuation,4,1
"....,....,",Punctuation,1,1
.....,Punctuation,8,1
....?,Punctuation,10,1
....^^,Punctuation,1,1
...;;,Punctuation,1,1
...;;;,Punctuation,1,1
...;;;,Punctuation,8,1
...?,Punctuation,1,4
...?,Punctuation,9,1
...???,Punctuation,3,1
...????,Punctuation,1,1
..;;,Punctuation,1,1
..?,Punctuation,1,5
..?,Punctuation,7,1
..??,Punctuation,1,1
..^&^,Punctuation,5,1
..^^;,Punctuation,8,1
..`,Punctuation,1,1
..~,Punctuation,1,1
.?,Punctuation,10,1
.^,Punctuation,7,1
.^^,Punctuation,10,1
/,Punctuation,1,1
/,Punctuation,6,1
/,Punctuation,7,1
/,Punctuation,8,2
/,Punctuation,10,2
/./.,Punctuation,8,1
//,Punctuation,1,2
//,Punctuation,5,1
/~~~,Punctuation,1,1
0,Number,1,38
1,Number,1,88
1,Number,2,3
1,Number,3,2
1,Number,4,2
1,Number,5,4
1,Number,6,1
1,Number,7,6
1,Number,8,10
1,Number,9,15
1,Number,10,17
1%,Number,10,1
1.23454,Number,1,1
10,Number,1,19
10,Number,4,1
10,Number,5,1
10,Number,8,3
10,Number,9,2
10,Number,10,17
100,Number,10,2
100%,Number,1,1
100%,Number,8,1
100%,Number,10,3
1010,Number,1,1
101010,Number,1,1
10년,Number,2,1
10년,Number,10,2
10분,Number,9,1
10원,Number,1,1
13,Number,1,1
134567,Number,10,1
15,Number,10,1
15년,Number,9,2
17,Number,9,1
19,Number,1,1
19,Number,5,2
19,Number,7,1
19,Number,9,2
19,Number,10,3
1996,Number,1,1
1~2,Number,1,1
1등,Number,1,3
1등,Number,8,1
1만,Number,1,1
1시간,Number,10,3
2,Number,1,8
2,Number,2,2
2,Number,3,1
2,Number,4,3
2,Number,5,3
2,Number,7,8
2,Number,8,11
2,Number,9,12
2,Number,10,13
20,Number,1,3
20,Number,4,1
2007년,Number,1,1
2015년,Number,8,1
2015년,Number,10,1
2017년,Number,7,1
20년,Number,1,1
20년,Number,10,1
20분,Number,1,1
20분,Number,2,1
21,Number,1,4
21,Number,10,1
22,Number,1,1
22,Number,2,1
24일,Number,8,1
25,Number,8,1
26년,Number,1,1
2만,Number,1,1
2시간,Number,3,1
2시간,Number,7,3
2시간,Number,8,1
2시간,Number,10,2
2일,Number,9,1
3,Number,1,3
3,Number,3,2
3,Number,9,1
3,Number,10,7
30년,Number,1,4
30분,Number,7,1
30일,Number,9,1
35,Number,10,1
3년,Number,1,1
3년,Number,8,1
3만,Number,1,1
3일,Number,10,1
4,Number,1,1
4,Number,5,1
4,Number,9,1
4,Number,10,1
4천,Number,1,1
5,Number,1,3
5,Number,10,1
5.63,Number,1,1
500원,Number,7,1
58%,Number,1,1
5년,Number,1,1
5년,Number,10,1
6,Number,1,2
6,Number,6,1
6,Number,10,2
6.5,Number,1,1
6.9,Number,8,1
60,Number,1,2
60,Number,8,1
60년,Number,9,1
6~7,Number,1,1
7,Number,1,6
7,Number,7,2
7,Number,10,1
7.3,Number,8,1
7.5,Number,10,1
7.79,Number,1,1
7.8,Number,10,1
70-80년,Number,5,1
70년,Number,1,1
7~8,Number,7,1
8,Number,1,2
8,Number,9,1
8,Number,10,4
9,Number,1,1
9,Number,5,1
9,Number,9,3
9,Number,10,1
90,Number,6,1
90분,Number,4,1
9700,Number,1,1
99,Number,10,1
9시,Number,2,1
9월,Number,9,1
9천원,Number,1,1
:,Punctuation,1,2
:,Punctuation,7,2
:,Punctuation,8,3
:,Punctuation,10,5
":""",Punctuation,1,1
:),Punctuation,1,2
:),Punctuation,9,3
:),Punctuation,10,5
:-),Punctuation,9,1
:;,Punctuation,1,1
:???,Punctuation,1,1
;,Punctuation,1,6
;,Punctuation,10,2
;;,Punctuation,1,8
;;,Punctuation,5,1
;;,Punctuation,8,1
;;,Punctuation,10,1
;;;,Punctuation,1,2
;;;,Punctuation,8,1
;;;,Punctuation,10,2
;;;;,Punctuation,1,3
<,Punctuation,7,1
<,Punctuation,9,1
<,Punctuation,10,2
=,Punctuation,1,5
=,Punctuation,7,1
>,Punctuation,7,1
>,Punctuation,9,1
>,Punctuation,10,1
><,Punctuation,10,1
?,Foreign,10,1
?,Punctuation,1,220
?,Punctuation,2,20
?,Punctuation,3,8
?,Punctuation,4,3
?,Punctuation,5,14
?,Punctuation,6,15
?,Punctuation,7,31
?,Punctuation,8,36
?,Punctuation,9,22
?,Punctuation,10,53
?!,Punctuation,3,1
?!,Punctuation,6,1
?!,Punctuation,9,2
?!,Punctuation,10,1
"?""",Punctuation,1,1
"?""",Punctuation,7,1
?',Punctuation,6,1
?',Punctuation,10,1
?),Punctuation,5,1
?),Punctuation,8,1
?...,Punctuation,1,2
?///,Punctuation,1,1
?;;,Punctuation,1,1
??,Punctuation,1,10
??,Punctuation,2,6
??,Punctuation,5,3
??,Punctuation,6,1
??,Punctuation,7,1
??,Punctuation,10,7
??(,Punctuation,8,1
??...,Punctuation,9,1
???,Punctuation,1,4
???,Punctuation,8,1
???;;,Punctuation,1,1
????,Punctuation,1,2
??????????????,Punctuation,10,1
@,Punctuation,1,1
All,Alpha,10,1
B,Alpha,1,1
B,Alpha,4,1
BEST,Alpha,7,1
Best,Alpha,10,1
E,Alpha,1,1
FUN,Alpha,1,2
GV,Alpha,7,1
Good,Alpha,10,2
Goood,Alpha,10,1
IMDB,Alpha,8,2
Ishk,Alpha,2,1
Justification,Alpha,6,1
Ku,Alpha,1,1
MAX,Alpha,8,1
MVP,Alpha,8,1
ND,Alpha,9,1
Now,Alpha,7,1
O,Alpha,1,1
OO,Alpha,1,8
OO,Alpha,2,1
OO,Alpha,7,3
OO,Alpha,9,2
OO,Alpha,10,2
OOO,Alpha,1,13
OOO,Alpha,10,1
OOOO,Alpha,1,1
Old,Alpha,6,1
PPL,Alpha,6,1
Right,Alpha,7,1
Self,Alpha,6,1
So,Alpha,5,1
Strange,Alpha,8,1
TOP,Alpha,1,1
Then,Alpha,7,1
Werther,Alpha,6,1
Wrong,Alpha,7,1
X,Alpha,1,2
XX,Alpha,4,1
XX,Alpha,10,1
[,Punctuation,8,2
],Punctuation,8,2
^,Punctuation,1,1
^^,Punctuation,1,9
^^,Punctuation,5,1
^^,Punctuation,7,2
^^,Punctuation,8,7
^^,Punctuation,9,5
^^,Punctuation,10,16
^^!,Punctuation,9,1
^^),Punctuation,10,1
^^*,Punctuation,9,1
^^*,Punctuation,10,1
^^..,Punctuation,1,1
^^;,Punctuation,10,1
^~^,Punctuation,4,1
^~^,Punctuation,10,1
_,Punctuation,1,1
_,Punctuation,10,2
`,Punctuation,1,2
a,Alpha,9,1
alclssus,Alpha,1,1
all,Alpha,10,2
and,Alpha,8,1
another,Alpha,10,1
av,Alpha,1,1
b,Alpha,1,2
b,Alpha,8,1
b,Alpha,9,1
bb,Alpha,8,3
bb,Alpha,9,1
bb,Alpha,10,2
been,Alpha,10,1
boring,Alpha,1,1
business,Alpha,10,1
c,Alpha,1,1
c,Alpha,9,1
cgv,Alpha,2,1
cgv,Alpha,8,1
choice,Alpha,10,1
could,Alpha,10,1
dirty,Alpha,1,1
disgusting,Alpha,1,1
excellent,Alpha,10,1
for,Alpha,1,1
good,Alpha,10,1
gossip,Alpha,4,1
gv,Alpha,10,1
have,Alpha,10,1
hhh,Alpha,1,1
http://entertain.naver.com/read?oid=016&aid=0001071407,URL,1,1
is,Alpha,10,1
it,Alpha,10,1
level,Alpha,10,1
like,Alpha,1,1
love,Alpha,1,1
mr,Alpha,9,1
my,Alpha,10,1
new,Alpha,8,1
oecd,Alpha,10,1
of,Alpha,6,1
of,Alpha,10,1
ooo,Alpha,1,1
or,Alpha,10,1
ppl,Alpha,8,1
q,Alpha,1,1
skt,Alpha,2,1
so,Alpha,5,1
terrible,Alpha,1,1
that,Alpha,10,1
